source,nbr_occurences_source,orthographic,nbr_occurences_ortho,note
"Monde (hors Europe, Inde et Colonies françaises)",1,"Monde (hors Europe, Inde et Colonies françaises)",1,
"Monde (hors Europe, Inde, Colonies françaises et Amérique)",1,"Monde (hors Europe, Inde, Colonies françaises et Amérique)",1,
Monde (hors Europe),41,Monde hors Europe,48,
Monde (Hors Europe),7,Monde hors Europe,48,
Monde (hors Guiane française),2,Monde hors Guyanne française,2,
Monde (hors Inde et Amérique),5,Monde (hors Inde et Amérique),5,
Monde (hors Pays de Gex),1,Monde hors Pays de Gex,1,
"Monde (hors Piémont, Inde et Amérique)",1,"Monde (hors Piémont, Inde et Amérique)",1,
Monde (Hors Ports de la Baltique),1,Monds hors Ports de la Baltique,1,
Morée,5,Morée,11,
Mozée,6,Morée,11,
N,1,Nord,22678,
N.-Grenade,3,Nouvelle-Grenade,3,
Nancy,2,Nancy,2,
Nantes,1,Nantes,1,
Napels,1,Naples,3261,
Naple et Sicile,124,Naples-Sicile,4974,
naples,55,Naples,3261,
Naples,3203,Naples,3261,
Naples et sicile,35,Naples-Sicile,4974,
Naples et Sicile,4782,Naples-Sicile,4974,
Naples et Siciles,31,Naples-Sicile,4974,
Naples Sicile,2,Naples-Sicile,4974,
Naples Sicile et Parme,49,"Naples, Sicile et Palerme",52,
Naples Sicile Palerme,2,"Naples, Sicile et Palerme",52,
Naples Sicile Parleme,1,"Naples, Sicile et Palerme",52,
Naples Sicile Parme,4,"Naples, Sicile et Parme",398,
Naples Sicile Parmes,8,"Naples, Sicile et Parme",398,
"Naples, Sicile & Parme",78,"Naples, Sicile et Parme",398,
"Naples, Sicile et Parme",308,"Naples, Sicile et Parme",398,
Non renseigné,1,non renseigné,1,
Noples,2,Naples,3261,
nord,429,Nord,22678,
Nord,19892,Nord,22678,
Nord (dont Hanse et Russie),104,Nord ; dont hanséatiques et Russie,104,
Nord (Hanse + Russie),32,Nord (Hanse et Russie),32,
Nord avec villes Anseatiques,293,Nord qui comprend les villes hanséatiques,2869,
Nord avec villes Anséatiques,449,Nord qui comprend les villes hanséatiques,2869,
Nord dont villes anséatiques,18,Nord qui comprend les villes hanséatiques,2869,
Nord qui comprend les villes anscatiques,663,Nord qui comprend les villes hanséatiques,2869,
Nord qui comprend les villes anscatiques a la Moscovie,218,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes ansceatiques,73,Nord qui comprend les villes hanséatiques,2869,
Nord qui comprend les villes anscéatiques,66,Nord qui comprend les villes hanséatiques,2869,
Nord qui comprend les villes ansceatiques et a Moscovie,34,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes ansceatiques et la moscovie,10,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes ansceatiques et la Moscovie,128,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes anseatiques,337,Nord qui comprend les villes hanséatiques,2869,
Nord qui comprend les villes anséatiques,927,Nord qui comprend les villes hanséatiques,2869,
Nord qui comprend les villes anseatiques et la moscovie,299,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes de anseatiques et la moscovie,18,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord qui comprend les villes de anséatiques et la Moscovie,48,Nord qui comprend les villes hanséatiques et la Moscovie,894,
Nord y compris les villes anséatiques,43,Nord qui comprend les villes hanséatiques,2869,
Norde,1,Nord,22678,
Norvège,79,Norvège,80,
Norwegue,1,Norvège,80,
Origine inconnue,69,origine inconnue,113,
Origine Inconnue,44,origine inconnue,113,
Pas de pays indiqué,1,pays non indiqué,8,
Pays d'Aunis,1,Pays d'Aunis,1,
Pays de Gex,7,Pays de Gex,7,
Pays de labour,31,Pays de Labour,31,
Pays non indiqué,7,pays non indiqué,8,
Pays ou Région,1,Pays ou Région,1,
Pays-Bas,49,Pays-Bas,49,
Pêche étrangère,10,Pêches étrangères,13,
Pêche française,6,Pêches françaises,37,
Pêches étrangères,3,Pêches étrangères,13,
Pêches françaises,31,Pêches françaises,37,
Pêches sur nos côtes Hareng (simple apperçu),2,Pêches sur nos côtes Hareng (aperçu),2,
Pêches sur nos côtes Maquereaux (simple apperçu),2,Pêches sur nos côtes Maquereaux (aperçu),2,
Pêches sur nos côtes Sardines (simple apperçu),1,Pêches sur nos côtes Sardines (aperçu),1,
Pérou,6,Pérou,6,
Petites iles,356,Petites Îles,455,
Petites isles,27,Petites Îles,455,
Petites Isles,67,Petites Îles,455,
Petites Isles et Bayonne,3,Petites Îles et Bayonne,3,
Petites Isles et Lorient,1,Petites îles et Lorient,1,
"Petites Isles, Dunkerque et Lorient",1,"Petites Îles, Dunkerque et Lorient",2,
"Petites Isles, Lorient et Bayonne",1,"Petites Îles, Bayonne et Lorient",1,
"Petites Isles, Lorient et Dunkerquer",1,"Petites Îles, Dunkerque et Lorient",2,
"Petites Isles, Lorient, Dunkerque et Bayonne",2,"Petites Îles, Bayonne, Dunkerque et Lorient",2,
petitesisles,5,Petites Îles,455,
Philippines,1,Philippines,1,
Piedmont,124,Piémont,1590,
Piemont,1171,Piémont,1590,
Piémont,1,Piémont,1590,
Piémont ; par mer,1,Piémont par mer,1,
Piémont ; par terre,1,Piémont par terre,1,
Piemont et Geneve,219,Piémont et Genève,604,
Piemont et la Savoye,174,Piémont et Savoie,340,
Piemont et Savoye,94,Piémont et Savoie,340,
Piémont et Savoye,72,Piémont et Savoie,340,
Poitou,1,Poitou,1,
pologne,16,Pologne,305,
Pologne,289,Pologne,305,
pologne - Geneve,1,Pologne et Genève,1,
Port de Marseille,414,Port de Marseille,414,
Portgual,1,Portugal,12104,
Portigal,1,Portugal,12104,
Portogal,1,Portugal,12104,
Ports à l'instar de l'étranger ; Bayonne,5,Port à l'instar de l'étranger Bayonne,16,
Ports à l'instar de l'étranger ; Corse,21,Port à l'instar de l'étranger Corse,21,
Ports à l'instar de l'étranger ; Dunkerque,10,Port à l'instar de l'étranger Dunkerque,10,
Ports à l'instar de l'étranger ; Lorient,34,Port à l'instar de l'étranger Lorient,34,
Ports de France ; Bayonne,11,Port à l'instar de l'étranger Bayonne,16,
Ports de France ; Dunkerque,9,Port de France Bayonne,14,
Ports de France ; Lorient,40,Port de France Dunkerque,44,
Ports de France ; Marseille,85,Port de France Marseille,88,
Ports de France ; Petites isles,29,Port de France Petites Îles,31,
Ports de France Bayonne,4,Port de France Bayonne,14,
Ports de France Dunkerque,4,Port de France Dunkerque,44,
Ports de France Lorient,13,Port de France Lorient,14,
Ports de France Marseille,1,Port de France Marseille,88,
Ports de France Petites isles,2,Port de France Petites Îles,31,
Ports de France; Bayonne,1,Port de France Bayonne,14,
Ports de France; Lorient,1,Port de France Lorient,14,
Ports de France; Marseille,2,Port de France Marseille,88,
Ports de la Baltique,1,Ports de la Baltique,1,
Ports et pays de France,10,France,16,
Ports et pays de France à l'instar de l'étranger,1,Ports et pays de France à l'instal de l'étranger,1,
portugal,366,Portugal,12104,
Portugal,10880,Portugal,12104,
"Portugal et Isles de Terceres, Madère et Açores",19,"Portugal, île de Madère, Terceres et Açores",582,
"Portugal et Isles Madère, Terceres et Açores",20,"Portugal, île de Madère, Terceres et Açores",582,
"Portugal et Isles Terceres, Madère et Açores",171,"Portugal, île de Madère, Terceres et Açores",582,
"Portugal et Isles Terceres, Madères et Açores",19,"Portugal, île de Madère, Terceres et Açores",582,
"Portugal, Isles Madere, Terceres et Acores",353,"Portugal, île de Madère, Terceres et Açores",582,
Portugale,11,Portugal,12104,
Possessions anglaises,67,Possessions anglaises,132,
Possessions Anglaises,65,Possessions anglaises,132,
Possessions danoises,43,Possessions danoises,90,
Possessions Danoises,47,Possessions danoises,90,
Possessions des Etats unis de l'Amérique,74,Possessions des États-Unis d'Amérique,143,
Possessions des États-Unis de l'Amérique,69,Possessions des États-Unis d'Amérique,143,
Possessions espagnoles,77,Possessions espagnoles,153,
Possessions Espagnoles,76,Possessions espagnoles,153,
Possessions hollandaises,73,Possessions hollandaises,142,
Possessions Hollandaises,69,Possessions hollandaises,142,
Possessions portugaises,13,Possessions portugaises,27,
Possessions Portugaises,14,Possessions portugaises,27,
Possessions suédoises,37,Possessions suédoises,57,
Possessions Suédoises,20,Possessions suédoises,57,
pour Danemark,1,Danemark,8947,
Pour Genes,167,Gênes,14719,
Pour Geneve,25,Genève,3220,
pour Genève,7,Genève,3220,
pour Guinée,321,Guinée,10366,
pour Hollande,52,Hollande,73175,
Pour Hollande,92,Hollande,73175,
pour l'Allemagne la Lorraine et le pais de Liege,10,Allemagne-Lorraine-Pays de Liège,1787,
pour l'Allemagne la Lorraine et le païs de Liège,3,Allemagne-Lorraine-Pays de Liège,1787,
pour l'Angleterre,700,Angleterre,24734,
Pour l'Angleterre,341,Angleterre,24734,
pour l'Espagne,948,Espagne,55335,
Pour l'Espagne,2456,Espagne,55335,
pour l'Italie,15,Italie,35476,
Pour l'Italie,3637,Italie,35476,
pour la Flandre,35,Flandre,14272,
pour la Flandre autrichienne,71,Flandre Autrichienne,4172,
Pour la Flandre Impérialle,5,Flandre impériale,696,
pour la Guinée,318,Guinée,10366,
pour la holande,88,Hollande,73175,
pour la Holande,151,Hollande,73175,
pour la Hollande,642,Hollande,73175,
Pour la Hollande,791,Hollande,73175,
Pour la Lorraine et l'Allemagne,9,Allemagne-Lorraine,125,
pour la Russie,4,Russie,4665,
pour la Savoye,9,Savoie,12043,
Pour la Savoye,142,Savoie,12043,
Pour la Savoye et le Piemont,435,Savoie et Piémont,11469,
Pour la Suede,12,Suède,9666,
pour la Suède,43,Suède,9666,
pour la Suisse,20,Suisse,9842,
Pour la Suisse,34,Suisse,9842,
Pour la Suisse et Geneve,116,Suisse et Genève,154,
pour le Danemark,72,Danemark,8947,
Pour le Danemark,9,Danemark,8947,
pour le Levant,16,Levant,20655,
Pour le Levant,1329,Levant,20655,
pour le Nord,335,Nord,22678,
Pour le Nord,378,Nord,22678,
Pour le Piedmont et geneve,116,Piémont et Genève,604,
Pour le Piémont,77,Piémont,1590,
Pour le Piemont et Geneve,269,Piémont et Genève,604,
pour le Portugal,375,Portugal,12104,
Pour le Portugal,234,Portugal,12104,
pour les Etats unis de l'Amérique,126,États-Unis de l'Amérique,159,
pour les Indes orientales,403,Indes Orientales,1640,
Pour les Isles françaises,126,Îles françaises,2011,
Pour les Isles françaises de l'Amerique,321,Îles françaises de l'Amérique,37929,
pour les Isles françaises de l'Amérique,105,Îles françaises de l'Amérique,37929,
Pour les Isles françaises de l'Amérique,1,Îles françaises de l'Amérique,37929,
Pour les Isles Françaises de l'Amérique,191,Îles françaises de l'Amérique,37929,
Pour les Isles françoises de l'amerique,539,Îles françaises de l'Amérique,37929,
pour les Isles françoises de l'Amérique,1209,Îles françaises de l'Amérique,37929,
Pour Levant,186,Levant,20655,
Pour Naples et Sicile,40,Naples et Sicile,40,
Pour Russie,7,Russie,4665,
Pour Savoye et Piemont,269,Savoie et Piémont,11469,
Pour Suede,34,Suède,9666,
Pour suisse et geneve,38,Suisse et Genève,154,
Pour Venise,1,Venise,1847,
Pourtgal,1,Portugal,12104,
Prises et saisies,663,Prises et saisies,1045,
Prises et Saisies,382,Prises et saisies,1045,
Prises saisies et séquestres,37,Prises et saisies et séquestres,260,
"Prises, saisies et séquestres",188,Prises et saisies et séquestres,260,
"Prises, saisies et Séquestres",35,Prises et saisies et séquestres,260,
prusse,68,Prusse,521,
Prusse,444,Prusse,521,
Prusse - par mer,2,Prusse – par mer,2,
Quatre Villes anséatiques,28,Quatre villes hanséatiques,68,
Quatre villes hanséatiques,40,Quatre villes hanséatiques,68,
R.de la Plata,14,Rio de la Plata,14,
Republique de genes,4,République de Gênes,746,
Republique de Genes,53,République de Gênes,746,
Republique de Gènes,1,République de Gênes,746,
République de genes,2,République de Gênes,746,
République de Genes,101,République de Gênes,746,
République de Génes,261,République de Gênes,746,
République de Gènes,97,République de Gênes,746,
République de Gênes,227,République de Gênes,746,
République de Hollande,150,République de Hollande,150,
republique de Suisse,2,République de Suisse,4088,
Republique de suisse,1,République de Suisse,4088,
Republique de Suisse,14,République de Suisse,4088,
république de Suisse,3,République de Suisse,4088,
République de suisse,228,République de Suisse,4088,
République de Suisse,3840,République de Suisse,4088,
Republique de Venise,10,République de Venise,124,
République de Venise,77,République de Venise,124,
République de VENISE,37,République de Venise,124,
Riga,3,Riga,3,
Rome et Venise,2,Rome et Venise,2,
Rotterdam,6,Rotterdam,6,
Rouen,1,Rouen,1,
Royaume d'Espagne,4661,Royaume d'Espagne,4661,
Royaume d'Espagne et les colonies,13,Royaume d'Espagne et ses colonies,1083,
Royaume d'Espagne et ses colonies,1070,Royaume d'Espagne et ses colonies,1083,
Royaume d'Etrurie,1005,Royaume d'Étrurie,1153,
Royaume d'Étrurie,148,Royaume d'Étrurie,1153,
Royaume d'Hollande,40,Royaume de Hollande,2977,
Royaume d'italie,20,Royaume d'Italie,2734,
Royaume d'Italie,2714,Royaume d'Italie,2734,
Royaume de Danemarck,2997,Royaume de Danemark,3293,
Royaume de Danemarck et ses colonies,200,Royaume de Danemark et ses colonies,200,
Royaume de Danemark,257,Royaume de Danemark,3293,
Royaume de genes,6,Royaume de Gênes,73,
Royaume de Genes,51,Royaume de Gênes,73,
Royaume de GENES,16,Royaume de Gênes,73,
Royaume de Hollande,2937,Royaume de Hollande,2977,
Royaume de Naple,6,Royaume de Naples,2265,
Royaume de naples,48,Royaume de Naples,2265,
Royaume de Naples,2211,Royaume de Naples,2265,
Royaume de Naples et de Sicile et Duché de Parmes,79,Royaume de Naples et de de Sicile et duché de Parme,79,
Royaume de Pays-Bas,11,Royaume de Pays-Bas,982,
Royaume de portugal,7,Royaume du Portugal,1870,
Royaume de Portugal,1823,Royaume du Portugal,1870,
Royaume de Portugal et ses colonies,836,Royaume du Portugal et ses colonies,836,
Royaume de Potugal,21,Royaume du Portugal,1870,
Royaume de Prusse,3981,Royaume de Prusse,3981,
Royaume de sardaigne,179,Royaume de Sardaigne,4040,
Royaume de Sardaigne,3835,Royaume de Sardaigne,4040,
Royaume de sue,1,Royaume de Suède,1593,
Royaume de suede,16,Royaume de Suède,1593,
Royaume de Suede,74,Royaume de Suède,1593,
Royaume de suède,3,Royaume de Suède,1593,
Royaume de Suède,1499,Royaume de Suède,1593,
Royaume de Suède et ses colonies,173,Royaume de Suède et ses colonies,173,
Royaume de Suisse,26,Royaume de Suisse,26,
Royaume des Pays-Bas,915,Royaume de Pays-Bas,982,
Royaume des Pays-Bas et ses colonies,1408,Royaume de Pays-Bas et ses colonies,1408,
Royaume du Danemarck,26,Royaume de Danemark,3293,
Royaume du Portugal,19,Royaume du Portugal,1870,
Royaumes de Danemarck,13,Royaume de Danemark,3293,
Royaumes de Sardaigne,26,Royaume de Sardaigne,4040,
Royaumes des Pays-Bas,56,Royaume de Pays-Bas,982,
Rusie,4,Russie,4665,
Russa,2,Russie,4665,
russie,270,Russie,4665,
Russie,4196,Russie,4665,
Russie diverses,1,Russie,4665,
Russie et Courlande,128,Russie-Courlande,128,
Saint Domingue,325,Saint-Domingue,5557,
Saint Jean de Luz,1,Saint-Jean de Luz,9,
Saint-Domingue,779,Saint-Domingue,5557,
Saint-Jean de Luz,7,Saint-Jean de Luz,9,
Saint-Jean de Luze,1,Saint-Jean de Luz,9,
Salonique,5,Salonique,5,
"Salonique, Archypel et Satalis",17,"Salonique, Archipel et Satali",17,
sardaigne,9,Sardaigne,2040,
Sardaigne,1985,Sardaigne,2040,
savoie,2,Savoie,12043,
Savoie,3,Savoie,12043,
Savoie et Piémont,256,Savoie et Piémont,11469,
savoye,134,Savoie,12043,
Savoye,11301,Savoie,12043,
Savoye & Piémont,151,Savoie et Piémont,11469,
Savoye et du Piemont,322,Savoie et Piémont,11469,
Savoye et le Piedmont,284,Savoie et Piémont,11469,
Savoye et le Piemont,353,Savoie et Piémont,11469,
Savoye et Piedmont,312,Savoie et Piémont,11469,
Savoye et Piemons,122,Savoie et Piémont,11469,
Savoye et Piemont,8244,Savoie et Piémont,11469,
Savoye et Piémont,721,Savoie et Piémont,11469,
savpie,132,Savoie,12043,
Sénégal,318,Sénégal,318,
Sénégal et Caïenne,1,Sénégal et Cayenne,1,
Sénégal et Guinée,2987,Sénégal et Guinée,2987,
Sénégal français,8,Sénégal français,8,
Seydes,5,Sidon,5,
Seydes et Acre,15,Sidon et Acre,15,
Smirne,35,Smyrne,35,
St Domingue,4453,Saint-Domingue,5557,
St Thomas,11,Saint-Thomas,11,
"Stockholm, Middelbourg, Göteborg, Andenville, Narbeck et Gherben en Suède",1,"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,
"Stockholm, Middelbourg, Gothembourg Andenville, Narbeck et Gherben en Suède",1,"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,
Strasbourg,1,Strasbourg,1,
Sud eclésiatique,1,Sud ecclésiastique,1,
sude,120,Suède,9666,
suede,240,Suède,9666,
Suede,5938,Suède,9666,
Suéde,323,Suède,9666,
suède,19,Suède,9666,
Suède,2440,Suède,9666,
Süede,47,Suède,9666,
Suèdes,1,Suède,9666,
Suifre,1,Suisse,9842,
Suis,1,Suisse,9842,
Suise,2,Suisse,9842,
suisse,183,Suisse,9842,
Suisse,9371,Suisse,9842,
SUISSE,1,Suisse,9842,
Suisse et geneve,30,Genève et Suisse,2385,
Suisse et Geneve,945,Genève et Suisse,2385,
suisse et genève,2,Genève et Suisse,2385,
Suisse et genève,193,Genève et Suisse,2385,
Suisse et Genève,261,Genève et Suisse,2385,
Suisse Geneève,3,Genève et Suisse,2385,
suisse geneve,7,Genève et Suisse,2385,
Suisse Geneve,2,Genève et Suisse,2385,
Suisse Genève,5,Genève et Suisse,2385,
Suisse Genêve,3,Genève et Suisse,2385,
Suisse ses alliés et Genève,26,Genève et Suisse et ses alliés,844,
Suisse-Geneve,526,Genève et Suisse,2385,
"Suisse, les alliés et Genève",686,Genève et Suisse et ses alliés,844,
"Suisse, ses Alliées et Genève",2,Genève et Suisse et ses alliés,844,
"Suisse, ses alliés et Genève",130,Genève et Suisse et ses alliés,844,
Suui,1,Suisse,9842,
Tabago,739,Tobago,739,
Tabago et Sainte-Lucie,2,Tobago et Sainte-Lucie,2,
Toscane,334,Toscane,335,
Toseaux,1,Toscane,335,
Traite des noirs et de la gomme,2,Traite des noirs et de la gomme,2,
Tripoly de Syrie,15,Tripoli de Syrie,15,
Trois Êvéchés,2,Trois Évêchés,2,
Turquie,34,Turquie,34,
"Turquie, Inde et Amérique",2,"Turquie, Inde et Amérique",2,
Venezuela,14,Vénézuela,14,
Venice,1,Venise,1847,
venise,53,Venise,1847,
Venise,1791,Venise,1847,
Venisr,1,Venise,1847,
ville anséatiques,1,Villes hanséatiques,4140,
Ville anslatique,4,Villes hanséatiques,4140,
Ville auséatique,17,Villes hanséatiques,4140,
Ville Auséatique,8,Villes hanséatiques,4140,
Ville d'anslatique,3,Villes hanséatiques,4140,
Villees Auséatiques,49,Villes hanséatiques,4140,
Villes anséatique,37,Villes hanséatiques,4140,
Villes anseatiques,1,Villes hanséatiques,4140,
villes anséatiques,8,Villes hanséatiques,4140,
Villes anséatiques,444,Villes hanséatiques,4140,
Villes Anséatiques,2948,Villes hanséatiques,4140,
"Villes Anséatiques d'Hambourg, Brême, Lubeck et Dantzick",65,Villes hanséatiques,4140,
Villes Anséatiques et Hollande,223,Villes hanséatiques-Hollande,223,
villes ansiatiq,3,Villes hanséatiques,4140,
villes ansiatiques,1,Villes hanséatiques,4140,
Villes auséatiques,254,Villes hanséatiques,4140,
Villes Auséatiques,189,Villes hanséatiques,4140,
Villes ausiatiques,12,Villes hanséatiques,4140,
Villes hanséatiques,96,Villes hanséatiques,4140,
Villes***,1,Villes ?,1,
Voitures diverses,2,Voitures diverses,2,
Ypres,1,Ypres,1,
