numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme,remarks
1,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,argent vif,Hollande,400,80,livres,5,0,
2,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,acier,Hollande,1584,4950,livres,0.32,0,en pourcentge
3,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,azur commun,Hollande,1425,2850,livres,0.5,0,
4,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,amidon,Hollande,36.75,175,livres,0.21,0,en pourcentge
5,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,antimoine,Hollande,350,350,livres,1,0,
6,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,arcenic,Hollande,225,1125,livres,0.2,0,
7,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,bierre,Hollande,54,3,barriques,18,0,
8,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,baleine coupée,Hollande,13510,3860,livres,3.5,0,
9,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,bois de sandal moulu,Hollande,150,300,livres,0.5,0,en quintal
10,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,bois de brezil,Hollande,4221.25,38375,livres,0.11,0,en quintal
11,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,bois de campesche,Hollande,3313.75,60250,livres,0.055,0,en quintal
12,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,chair salée,Hollande,274.5,1525,livres,0.18,0,en pourcentge
13,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,canelle,Hollande,5340,890,livres,6,0,
14,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,cinabre,Hollande,72,12,livres,6,0,"erreur dans la source, confusion entre livres et sous"
15,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,1,cuir doré,Hollande,237.5,190,livres,1.25,0,arrondi
16,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,cuir de roussy,Hollande,210,21,pièces,10,0,
17,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,cuir de roussy,Hollande,2325,3100,livres,0.75,0,
18,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,colle de poisson,Hollande,768,192,livres,4,0,
19,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,colle commune,Hollande,4348,10870,livres,0.4,0,
20,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,ceruse,Hollande,1969.5,15150,livres,0.13,0,en quintal
21,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,couperose verte,Hollande,1252.5,25050,livres,0.05,0,en quintal
22,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,cuivre en planches,Hollande,20151,13434,livres,1.5,0,
23,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,corne de cerf,Hollande,45,150,livres,0.3,0,en quintal
24,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,charbon de terre,Hollande,471,157,barrils,3,0,
25,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,epicerie,Hollande,870,290,livres,3,0,
26,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,fer blanc,Hollande,675,9,barrils,75,0,
27,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,fayence,Hollande,210,280,livres,0.75,0,
28,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,geroffle,Hollande,19248,2406,livres,8,0,
29,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,garance,Hollande,3198,7995,livres,0.4,0,
30,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,harans sors,Hollande,5236,238,barrils,22,0,
31,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,harans sors,Hollande,4884,122100,pièces,0.04,0,en pourcentge
32,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,limaille de cuivre,Hollande,255,85,livres,3,0,
33,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,litarge,Hollande,1750,875,livres,2,0,le prix semble trop élevé
34,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,muscade,Hollande,11560,1445,livres,8,0,
35,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,mercerie de bois,Hollande,3585,2390,livres,1.5,0,
36,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,miny,Hollande,120,800,livres,0.15,0,
37,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,moulins à caffé,Hollande,20,5,pièces,4,0,
38,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,noir de fumée,Hollande,80,200,livres,0.4,0,en quintal
39,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,orpiment,Hollande,450,450,livres,1,0,
40,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,poivre,Hollande,201760,201760,livres,1,0,
41,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,pipes à fumer,Hollande,2640,660,grosses,4,0,
42,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,plomb en saumon,Hollande,97597,464750,livres,0.21,-0.5,en pourcentge
43,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,pelles de bois,Hollande,12,36,pièces,0.3333333333333,1.19904086659517E-12,
44,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,planches de chesne,Hollande,858,286,pièces,3,0,
45,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,planches de sapin,Hollande,300,300,pièces,1,0,
46,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,quincaille,Hollande,42,42,livres,1,0,
47,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,saumon salé,Hollande,2880,60,barrils,48,0,
48,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,suif,Hollande,240,1200,livres,0.2,0,en quintal
49,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,tabac,Hollande,9112,12150,livres,0.75,-0.5,
50,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,teraille de gray,Hollande,10,240,pièces,0.5,-110,le prix a été modifié: on est passé de 10s la douzaine à 10 s pièce mais le calcul n'a pas été refait.
51,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,teraille de gray,Hollande,315,3150,livres,0.1,0,
52,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,verres à boire,Hollande,1450,1450,livres,1,0,
53,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,anchois,Espagne,195,39,barrils,5,0,
54,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,anis vert,Espagne,4481,29875,livres,0.15,-0.25,en quintal
55,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,arquifou,Espagne,15223,169150,livres,0.09,-0.5,en quintal
56,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,auf,Espagne,52710,658875,livres,0.08,0,en quintal
57,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,beaume du perou,Espagne,66,,livres,0,0,marchandises en estimation
58,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,bois de reglisse,Espagne,1332,22200,livres,0.06,0,
59,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,balais de palme,Espagne,1863,24840,pièces,0.075,0,
60,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,brun rouge,Espagne,582,25900,livres,0.0225,-0.750000000000114,en quintal
61,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,cochenille mesteque,Espagne,252110,14830,livres,17,0,
62,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,cochenille en grabeau,Espagne,77733,8637,livres,9,0,
63,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,cordes d'auf,Espagne,4022,40225,livres,0.1,-0.5,en quintal
64,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,couffins de palme,Espagne,843,281,douzaine,3,0,
65,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,jalap,Espagne,2220,1110,livres,2,0,
66,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,laine lavée,Espagne,37450,53500,livres,0.7,0,en quintal
67,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,laine demy lavée,Espagne,1180,2950,livres,0.4,0,en quintal
68,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,2,liege,Espagne,1285,12850,livres,0.1,0,en pourcentge
69,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,mouchoirs,Espagne,55,,livres,0,0,marchandises en estimation
70,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,noisettes,Espagne,364,6075,livres,0.06,-0.5,en quintal
71,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,pignons cassés,Espagne,45,325,livres,0.14,-0.500000000000007,en quintal
72,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,peaux de marroquin,Espagne,7,6,pièces,1.25,-0.5,arrondi
73,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,quinquina,Espagne,8685,2895,livres,3,0,
74,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,rouge d'Espagne,Espagne,100,960,tasses,1.25,-1100,
75,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,sardines,Espagne,338,112900,pièces,0.003,-0.699999999999989,en millier
76,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,salsepareille,Espagne,450,600,livres,0.75,0,
77,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,soyes crues,Espagne,1876860,156405,livres,12,0,
78,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,soude,Espagne,65994,1199900,livres,0.055,-0.500000000014552,en pourcentge
79,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,vanille,Espagne,420,6,livres,70,0,
80,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,anchois,Piemont,4944,824,barrils,6,0,
81,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,arquifou,Piemont,31,350,livres,0.09,-0.5,en quintal
82,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,beurre,Piemont,30,205,livres,0.15,-0.750000000000004,arrondi
83,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,bergamottes,Piemont,50,2000,pièces,0.025,0,en pourcentge
84,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,bas de coton,Piemont,91,102,paires,0.9,-0.799999999999997,arrondi
85,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,barrils vuides,Piemont,1155,770,pièces,1.5,0,
86,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,bois à barrils,Piemont,50,1000,estimées,0,0,marchandises en estimation
87,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,bois de buy,Piemont,80,1000,livres,0.08,0,en quintal
88,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,bois de noyer,Piemont,100,10,cannes en carré,10,0,marchandises en estimation
89,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,confitures,Piemont,31,45,livres,0.7,-0.500000000000004,arrondi
90,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,chataignes seches,Piemont,345,9875,livres,0.035,-0.625000000000057,en quintal
91,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,citrons,Piemont,280,56,charges,5,0,
92,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,cheval à moyen prix,Piemont,50,1,pièces,0,0,marchandises en estimation
93,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,cheveux commun,Piemont,30,5,livres,6,0,
94,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,coton en laine,Piemont,10,50,livres,0.2,0,en pourcentge
95,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,chanvre batu,Piemont,26515,132575,livres,0.2,0,en quintal
96,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,chanvre cru,Piemont,8027,42250,livres,0.19,-0.5,en quintal
97,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,cordages de chanvre neuf,Piemont,84,400,livres,0.21,0,en quintal
98,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,cordages vieux,Piemont,20,200,livres,0.1,0,en quintal
99,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,chandelle,Piemont,258,1175,livres,0.22,-0.5,en quintal
100,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,cuivre vieux,Piemont,520,650,livres,0.8,0,en quintal
101,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,clouds de fer,Piemont,45,225,livres,0.2,0,en quintal
102,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,cercles de bois à tonneau,Piemont,473,364,rodes,1.3,-0.199999999999989,arrondi
103,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,cercles de bois à tonneau,Piemont,209,20900,livres,0.01,0,en quintal
104,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,ecorces d'orange seches,Piemont,12,150,livres,0.08,0,en quintal
105,Ahmed,Archives de la CCI de Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille-1736.csv,Local,1736,Imports,Marseille,3,fromage,Piemont,544,3400,livres,0.16,0,en quintal
